Latitude,Longitude,DIS24_First_Step,UpArea
21.025,101.42499999999974,4.609375,690120100.0
21.025,101.47499999999974,,
21.025,101.52499999999974,1.84375,517791040.0
21.025,101.57499999999973,,
21.025,101.62499999999973,,
21.025,101.67499999999973,,
21.025,101.72499999999972,,
21.025,101.77499999999972,,
21.025,101.82499999999972,,
21.025,101.87499999999972,,
21.025,101.92499999999971,,
21.025,101.97499999999971,2.609375,546498400.0
21.025,102.02499999999971,3.21875,661564160.0
21.025,102.0749999999997,,
21.025,102.1249999999997,,
21.025,102.1749999999997,,
21.025,102.2249999999997,9.921875,2275324000.0
21.025,102.2749999999997,,
21.025,102.32499999999969,,
21.025,102.37499999999969,,
21.025,102.42499999999968,15.015625,3282113300.0
21.025,102.47499999999968,,
21.025,102.52499999999968,,
21.025,102.57499999999968,,
21.025,102.62499999999967,,
21.025,102.67499999999967,,
21.025,102.72499999999967,110.75,18008695000.0
21.025,102.77499999999966,,
21.025,102.82499999999966,,
21.025,102.87499999999966,,
21.025,102.92499999999966,,
21.025,102.97499999999965,,
21.025,103.02499999999965,,
21.025,103.07499999999965,,
21.025,103.12499999999964,,
21.025,103.17499999999964,,
21.025,103.22499999999964,,
21.025,103.27499999999964,9.1875,806165950.0
21.025,103.32499999999963,,
21.025,103.37499999999963,,
21.025,103.42499999999963,,
21.025,103.47499999999962,,
21.025,103.52499999999962,,
21.025,103.57499999999962,,
21.025,103.62499999999962,,
21.025,103.67499999999961,11.09375,921315700.0
21.025,103.72499999999961,11.453125,950089200.0
21.025,103.77499999999961,78.484375,5748318000.0
21.025,103.8249999999996,,
21.025,103.8749999999996,,
21.025,103.9249999999996,,
21.025,103.9749999999996,,
21.025,104.0249999999996,,
21.025,104.07499999999959,,
21.025,104.12499999999959,,
21.025,104.17499999999959,,
21.025,104.22499999999958,,
21.025,104.27499999999958,,
21.025,104.32499999999958,,
21.025,104.37499999999957,3.671875,777654460.0
21.025,104.42499999999957,,
21.025,104.47499999999957,,
21.025,104.52499999999957,,
21.025,104.57499999999956,,
21.025,104.62499999999956,361.1875,47216337000.0
21.025,104.67499999999956,361.53125,47273873000.0
21.025,104.72499999999955,,
21.025,104.77499999999955,376.65625,48194253000.0
21.025,104.82499999999955,377.375,48251810000.0
21.025,104.87499999999955,382.40625,48539394000.0
21.025,104.92499999999954,,
21.025,104.97499999999954,,
21.025,105.02499999999954,,
21.025,105.07499999999953,,
21.025,105.12499999999953,,
21.025,105.17499999999953,,
21.025,105.22499999999953,,
21.025,105.27499999999952,,
21.025,105.32499999999952,398.95312,50642180000.0
21.025,105.37499999999952,,
21.025,105.42499999999951,,
21.025,105.47499999999951,,
21.025,105.52499999999951,,
21.025,105.5749999999995,10.359375,517762720.0
21.025,105.6249999999995,,
21.025,105.6749999999995,,
21.025,105.7249999999995,,
21.025,105.7749999999995,,
21.025,105.82499999999949,,
21.025,105.87499999999949,1228.3281,136662330000.0
21.025,105.92499999999949,,
21.025,105.97499999999948,,
21.025,106.025,,
20.974999999999998,96.975,,
20.974999999999998,97.02499999999999,,
20.974999999999998,97.07499999999999,,
20.974999999999998,97.12499999999999,,
20.974999999999998,97.17499999999998,,
20.974999999999998,97.22499999999998,,
20.974999999999998,97.27499999999998,,
20.974999999999998,97.32499999999997,,
20.974999999999998,97.37499999999997,9.515625,1380208500.0
20.974999999999998,97.42499999999997,,
20.974999999999998,97.47499999999997,,
20.974999999999998,97.52499999999996,,
20.974999999999998,97.57499999999996,,
20.974999999999998,97.62499999999996,,
20.974999999999998,97.67499999999995,,
20.974999999999998,97.72499999999995,33.1875,4044880100.0
20.974999999999998,97.77499999999995,,
20.974999999999998,97.82499999999995,,
20.974999999999998,97.87499999999994,,
20.974999999999998,97.92499999999994,,
20.974999999999998,97.97499999999994,43.5625,5715721700.0
20.974999999999998,98.02499999999993,43.734375,5744505000.0
20.974999999999998,98.07499999999993,54.125,7124440600.0
20.974999999999998,98.12499999999993,,
20.974999999999998,98.17499999999993,,
20.974999999999998,98.22499999999992,,
20.974999999999998,98.27499999999992,,
20.974999999999998,98.32499999999992,,
20.974999999999998,98.37499999999991,,
20.974999999999998,98.42499999999991,,
20.974999999999998,98.47499999999991,142.45312,12182871000.0
20.974999999999998,98.5249999999999,588.5781,176792860000.0
20.974999999999998,98.5749999999999,445.73438,164581210000.0
20.974999999999998,98.6249999999999,445.0625,164466030000.0
20.974999999999998,98.6749999999999,443.82812,164235850000.0
20.974999999999998,98.7249999999999,443.60938,164207070000.0
20.974999999999998,98.77499999999989,,
20.974999999999998,98.82499999999989,,
20.974999999999998,98.87499999999989,,
20.974999999999998,98.92499999999988,,
20.974999999999998,98.97499999999988,,
20.974999999999998,99.02499999999988,,
